movie_id,genre_id
19995,28
285,12
206647,28
49026,28
49529,28
559,14
38757,16
99861,28
767,12
209112,28
1452,12
10764,12
58,12
57201,28
49521,28
2454,12
24428,878
1865,12
41154,28
122917,28
1930,28
20662,28
57158,12
2268,12
254,12
597,18
271110,12
44833,53
135397,28
37724,28
558,28
68721,28
12155,10751
36668,12
62211,16
8373,878
91314,878
68728,14
102382,28
20526,12
49013,16
44912,12
10193,16
534,28
168259,28
72190,28
127585,28
54138,28
81005,28
64682,18
9543,12
68726,28
38356,28
217,12
105864,12
62177,16
188927,28
10681,16
5174,28
14161,28
17979,16
76757,878
258489,28
411,12
246655,878
155,18
14160,16
15512,16
1726,28
44826,12
8487,28
1735,12
297761,28
2698,14
137113,28
9804,12
14869,12
150540,18
278927,10751
10138,12
58595,12
102651,14
119450,878
79698,28
64686,18
100402,28
10192,35
158852,12
177572,12
82690,10751
5255,12
47933,28
10191,14
296,28
118340,28
157336,12
27205,28
315011,28
49051,12
9799,28
4922,14
49538,28
131634,28
27022,14
503,12
241259,14
810,14
68735,28
87101,878
10140,12
676,36
1858,12
1966,10752
675,12
674,12
8960,14
6479,18
118,12
2062,16
272,28
10527,10751
18360,12
2080,12
605,12
109445,16
604,12
76338,28
76341,28
13448,53
10195,12
13053,16
19585,14
57165,12
62213,35
177677,28
7978,18
5559,10751
49444,16
10196,28
956,12
117251,28
50321,12
11619,12
266647,12
82703,16
652,12
80321,16
36669,12
43074,28
95,28
608,28
2310,12
140300,28
56292,28
81188,14
7552,35
616,18
147441,12
13475,878
557,14
82702,14
205584,14
10048,28
13183,28
944,28
1927,18
72559,12
7364,28
2114,12
1771,28
36643,12
8619,12
50620,12
65759,16
1724,878
267935,12
281957,37
77950,16
44896,16
270946,10751
2503,28
9502,12
102899,878
101299,12
228161,14
74,12
8961,12
417859,28
27576,28
86834,18
17578,12
673,12
6972,18
82700,878
10567,16
181533,12
38055,16
671,12
49524,14
22,12
131631,878
591,53
172385,16
36658,12
51497,28
58574,12
18823,12
861,28
1911,12
49040,28
415,28
8871,10751
435,28
955,12
2133,18
1979,12
87827,12
1250,53
324668,28
9471,28
70981,878
10996,10751
68724,878
2789,28
97020,28
7459,28
42888,35
37834,28
75612,28
1895,878
1894,12
585,16
76170,28
1893,12
49519,12
2395,14
12100,18
290595,28
98566,878
49047,878
9619,28
308531,14
166424,28
1593,28
254128,28
714,12
2024,18
163,53
787,28
262500,12
2567,18
38745,35
40805,28
53182,28
41513,16
13700,16
262504,12
39254,28
77931,14
1639,28
80274,878
1571,28
120,12
10204,28
8489,18
10588,35
2048,28
1495,18
10137,16
10198,10749
286217,18
1635,28
24113,35
9679,28
98,28
180,28
672,12
36557,12
869,53
280,28
11322,36
4982,18
36955,28
18487,53
39451,35
27581,28
9268,28
68718,18
10545,18
11688,12
76163,28
2059,12
2486,14
16523,10751
116711,16
37710,28
9946,28
1372,18
106646,80
414,28
563,12
83542,18
41216,16
314,28
184315,28
9016,12
18162,12
138103,28
257088,28
10214,14
205775,53
11692,28
22972,10752
227973,16
29193,80
1734,12
3131,18
76758,18
9408,16
9890,28
855,28
77953,35
18,12
37786,35
10501,12
57800,16
150689,10749
7980,14
12,16
122,12
121,12
68737,12
1995,12
157353,53
331,12
61791,53
8204,12
47964,28
10733,37
9806,28
1408,28
32657,12
607,28
863,16
44048,28
5175,28
2655,18
22794,16
8355,16
116745,12
4327,28
1422,18
10674,16
7446,28
65754,53
1572,28
10528,28
271969,18
10865,16
258509,12
2253,18
10661,35
257344,28
644,18
10756,53
686,18
9383,28
179,80
76285,12
1996,28
291805,28
10003,53
1535,28
2067,878
46195,16
2277,35
10357,878
4477,80
8665,18
9387,12
921,10749
49852,14
4464,18
664,28
8358,12
9836,16
2502,28
9772,28
161,53
52451,12
76492,16
4523,35
59961,28
10481,35
59108,28
1581,35
9798,28
22897,35
298,80
7484,12
157350,12
853,10752
10159,12
9593,12
1904,18
9615,28
51052,18
297,14
9884,28
16858,18
62764,12
22538,28
9341,28
12107,14
9637,9648
49049,28
9339,35
16281,27
39691,35
8247,12
11253,12
1949,80
8452,878
310,14
27578,53
954,12
70160,878
45243,35
364,28
7518,35
11544,16
9986,35
8656,28
146216,28
9291,35
55301,35
109418,35
11665,28
6964,18
11324,18
12193,35
9928,16
754,28
10202,14
4147,53
50546,10749
1701,28
13027,9648
2289,18
20504,28
9574,35
11618,27
2300,16
12096,28
10200,18
8834,28
228150,10752
6068,28
41515,35
9023,37
38317,35
2157,12
14462,18
161795,10749
159824,16
49948,16
2135,878
9822,28
9705,28
1656,28
12159,18
9678,35
4442,12
75,35
330770,9648
9433,28
19959,28
11973,18
11228,28
77951,16
5491,28
10715,16
10197,18
9562,28
9922,18
9447,12
274854,14
8870,53
9992,12
36970,99
10077,53
76649,28
293644,35
453,18
8587,10751
72545,12
109451,16
9533,80
2023,37
71880,35
584,28
309809,12
4858,878
17711,28
328111,16
8698,14
93456,16
602,28
330,12
953,10751
9693,18
36657,12
8909,28
9802,28
950,16
1824,35
2976,10751
11026,27
332,28
75656,53
38365,35
594,35
15189,35
11678,28
6538,35
10555,16
1125,18
4551,35
612,18
9567,28
37821,28
203801,35
2539,35
9297,16
3172,28
6520,28
1439,18
37958,14
2026,9648
7450,16
11375,28
9425,28
25769,28
23685,12
11866,28
9741,878
211672,10751
23629,28
8688,80
10153,878
153518,10751
8676,10749
20829,35
4349,53
9718,35
10808,35
197,28
25,18
35,16
11086,18
10477,28
1997,12
6947,18
3050,35
2675,18
809,12
920,16
4806,35
7451,28
228165,16
3595,28
16869,18
879,12
1573,28
9257,28
1903,18
9697,18
395,12
23398,35
10590,28
117263,28
200,878
44943,28
587,12
10395,14
57212,18
152760,10752
2756,12
33909,18
49017,27
9882,18
2270,12
978,12
44564,35
3132,28
8814,12
8427,28
52520,14
80585,35
10592,18
49021,28
11535,28
10550,28
11258,53
12610,12
59981,16
201088,80
5137,9648
3093,80
107846,28
188207,28
4614,53
24021,12
11371,28
20352,16
11517,28
214756,35
26428,12
9824,12
48988,35
9008,18
300673,28
12113,28
38778,35
72331,28
1844,10749
846,9648
9703,28
857,18
136797,28
3981,35
425,16
6171,18
72976,36
603,28
568,18
9021,14
82695,18
9489,35
12133,35
9342,28
41733,35
227306,18
5551,28
9350,28
9208,28
4244,14
1852,18
11820,18
76493,35
345,9648
196867,35
256591,10749
59962,28
36648,878
1880,28
9440,35
71679,28
10483,28
11412,80
11983,28
6795,10751
550,18
11170,18
9292,28
10783,28
100241,27
257,80
9947,28
189,80
12618,18
253412,12
1427,80
818,35
16577,16
329,12
12160,18
9331,28
300168,28
9072,35
3536,28
9087,35
12177,35
12138,28
273248,80
9955,28
50359,16
1271,28
693,35
14306,35
497,14
11199,28
9982,16
210577,9648
2501,28
710,12
2275,80
37165,35
9837,12
10708,35
136400,28
10992,35
9654,28
2642,10749
8916,12
19899,35
2119,12
9641,35
294254,28
38167,18
5994,35
39514,28
9563,18
547,18
1538,18
9334,28
11128,18
75780,80
8914,28
13576,10402
39538,18
10628,35
14836,16
8645,53
9509,28
10067,35
9384,35
9279,10751
1487,14
9422,18
77174,10751
4824,28
9620,28
9302,18
10199,12
10771,53
3512,28
137094,28
274479,18
267860,28
8078,878
7485,28
170687,16
6435,18
137106,12
10040,28
6278,12
82682,80
17610,35
22954,18
16995,28
16558,10749
9849,35
5820,28
16866,878
201,878
11775,80
87825,18
12201,80
11015,27
9932,35
13389,28
8838,28
17332,18
4958,14
786,18
9513,16
11679,28
38321,28
14411,10751
8413,27
10052,18
9676,18
9664,28
2100,28
10384,27
137321,18
123553,28
11260,35
9009,18
11374,35
2309,12
8285,28
210860,35
2312,12
9839,18
381902,28
13922,28
293660,28
9713,18
190859,10752
257445,12
9007,35
889,878
1370,28
4942,35
347969,35
24438,35
116741,35
35791,28
72431,18
1813,18
87428,35
8840,14
10589,28
71676,28
1722,18
10022,28
11358,12
13,35
6477,35
1597,35
10530,12
1924,28
9327,14
8488,35
10603,12
8273,35
109424,28
35056,35
8839,14
156022,53
7303,35
8963,28
1402,18
9315,53
8984,18
795,18
24,28
11353,35
393,28
9618,28
9374,14
8584,12
2320,28
58224,35
1729,28
175574,16
8077,878
8818,36
8195,28
10586,12
116149,10751
80035,35
10632,18
12117,18
1792,35
13260,35
72197,16
3580,80
12123,28
9566,18
9833,53
4517,18
8202,28
16072,18
34314,28
19724,35
145220,35
14623,28
42297,18
2841,18
802,18
10375,28
36586,14
11321,18
70074,28
242,80
9621,35
1819,35
8536,28
8046,18
1717,18
479,28
9444,16
824,18
11456,9648
261023,80
3683,10752
22803,18
285923,53
39437,18
1950,18
640,18
97630,53
9767,10749
11631,35
32856,35
6519,28
8741,18
49520,35
1850,35
524,18
26389,28
11817,28
2123,35
9907,16
9969,35
18239,12
808,12
38050,878
8367,12
9390,35
72105,35
2898,35
10312,35
109443,35
2022,35
37686,53
462,18
9919,35
187017,80
628,27
10201,35
302699,28
9441,18
274167,35
224141,14
388,80
2112,18
10329,28
74465,18
13811,28
6877,35
10320,18
50646,35
8920,16
13673,35
60308,18
6950,28
225574,28
13836,12
752,28
6038,28
9975,12
11451,35
12103,53
60304,14
2251,53
46529,28
231,18
300671,28
228326,10749
9754,53
66,80
4421,28
2649,18
588,27
10393,35
71552,35
9631,28
216282,28
306,28
928,35
205587,18
6623,28
1577,27
9801,35
2116,53
9624,28
14199,12
1907,18
4599,18
22832,28
10390,18
9879,18
38579,10751
44603,18
11892,80
9691,28
1248,80
12220,35
72710,28
10782,28
9573,80
4959,18
10061,28
10386,12
421,12
316152,10752
11615,18
13498,35
241554,28
2252,53
11968,28
10047,12
38319,35
69668,18
9770,28
11212,28
10533,18
38363,18
9923,28
11863,28
18501,28
109491,14
9275,35
329833,35
12634,35
10416,35
47327,14
15268,28
10796,28
9548,28
18947,18
1900,53
89,12
96724,18
198184,80
9481,18
19995,12
285,14
206647,12
49026,80
49529,12
559,28
38757,10751
99861,12
767,14
209112,12
1452,14
10764,28
58,14
57201,12
49521,12
2454,10751
24428,28
1865,28
41154,35
122917,12
1930,12
20662,12
57158,14
2268,14
254,18
597,10749
271110,28
44833,28
135397,12
37724,12
558,12
68721,12
12155,14
36668,28
62211,10751
8373,28
91314,28
68728,12
102382,12
20526,28
49013,10751
44912,28
10193,10751
534,878
72190,18
127585,12
54138,12
81005,10751
64682,10749
9543,14
68726,878
38356,878
217,28
105864,16
62177,12
188927,12
10681,10751
5174,35
14161,12
17979,18
76757,14
258489,12
411,10751
155,28
14160,35
15512,10751
1726,878
44826,18
8487,12
1735,28
297761,12
2698,35
137113,878
9804,28
14869,28
150540,35
278927,12
10138,28
58595,14
102651,12
119450,28
79698,12
64686,28
100402,12
10192,12
158852,10751
177572,10751
82690,16
5255,16
47933,12
10191,12
296,53
118340,878
157336,18
27205,53
315011,12
49051,14
9799,80
4922,18
49538,878
131634,12
27022,12
503,28
810,12
68735,12
87101,28
10140,10751
676,10749
1858,878
1966,36
675,14
674,14
8960,28
6479,27
118,35
2062,35
272,80
10527,16
18360,14
2080,28
605,28
109445,12
604,28
76338,12
76341,12
13448,9648
10195,14
13053,10751
19585,28
62213,14
177677,12
7978,27
5559,16
49444,10751
10196,12
956,28
117251,18
50321,16
11619,16
266647,10751
82703,12
652,18
80321,10751
36669,28
43074,14
95,53
608,12
2310,28
140300,12
56292,53
81188,16
616,28
147441,18
13475,28
557,28
82702,28
13183,9648
944,12
1927,28
72559,28
7364,12
2114,28
1771,12
36643,28
50620,14
65759,35
1724,28
267935,10751
281957,18
77950,10751
44896,35
270946,16
2503,18
9502,16
102899,28
101299,28
228161,35
74,53
8961,28
417859,12
27576,9648
86834,12
17578,16
673,14
82700,28
10567,10751
181533,35
38055,28
671,14
49524,28
22,14
131631,12
591,9648
172385,12
36658,28
51497,53
58574,28
18823,14
861,12
1911,14
49040,53
415,80
8871,35
435,12
955,28
1979,14
87827,18
1250,28
324668,53
9471,12
70981,12
10996,12
68724,28
2789,878
97020,878
7459,10751
42888,18
37834,35
75612,878
1895,12
1894,28
585,35
76170,878
1893,28
49519,16
2395,12
12100,28
290595,12
98566,28
49047,53
9619,12
308531,28
166424,12
1593,12
254128,18
714,28
2024,36
163,80
787,35
262500,878
41513,10751
13700,10751
262504,878
39254,878
77931,10751
1639,12
80274,28
1571,53
120,14
10204,12
10588,14
2048,878
10137,14
10198,10751
286217,12
1635,53
24113,10749
9679,80
98,18
180,53
672,14
36557,28
869,878
280,53
11322,80
4982,80
36955,53
18487,18
39451,10749
27581,35
9268,18
68718,37
10545,16
11688,16
76163,12
2059,28
2486,28
16523,14
116711,12
37710,53
9946,14
1372,53
106646,18
414,80
563,28
83542,878
41216,12
314,80
184315,12
9016,16
18162,35
138103,12
257088,80
10214,35
205775,18
11692,35
22972,28
29193,18
1734,28
3131,36
76758,36
9408,35
9890,35
855,36
18,14
37786,18
10501,16
57800,35
150689,14
7980,18
12,10751
122,14
121,14
68737,14
1995,14
157353,878
331,28
61791,28
8204,10751
47964,53
10733,36
9806,12
1408,12
32657,14
607,12
863,35
44048,53
5175,35
2655,27
22794,35
8355,35
116745,35
4327,12
1422,53
10674,10751
7446,35
65754,80
1572,53
10528,12
10865,10751
258509,16
2253,53
10661,28
257344,35
644,878
10756,14
686,878
9383,878
179,53
76285,10751
1996,12
291805,12
10003,28
1535,80
46195,12
2277,878
10357,28
4477,53
8665,36
9387,14
921,18
49852,28
4464,36
664,12
8358,18
9836,35
2502,18
9772,53
161,80
52451,28
76492,35
4523,10751
59961,53
10481,10751
59108,35
1581,10749
9798,18
22897,10749
298,53
7484,16
157350,28
10159,28
9593,14
1904,36
9615,80
51052,16
297,18
9884,53
16858,10402
62764,14
22538,12
9341,53
12107,35
9637,12
49049,878
9339,18
16281,35
39691,10751
8247,14
11253,14
1949,18
310,35
27578,12
954,28
70160,12
364,14
7518,16
11544,10751
9986,10751
8656,18
146216,35
9291,18
55301,14
11665,35
6964,35
11324,53
12193,10749
9928,35
754,80
10202,35
4147,80
50546,35
1701,53
13027,53
20504,53
9574,10751
11618,53
2300,35
12096,35
10200,878
8834,18
228150,18
6068,12
41515,10751
9023,16
38317,10749
2157,10751
14462,53
161795,18
159824,35
49948,10751
2135,12
9822,12
9705,80
1656,12
12159,14
9678,14
4442,14
75,14
330770,18
9433,12
19959,878
11973,53
11228,12
77951,10751
5491,878
10715,35
10197,10402
9562,12
9922,12
9447,35
274854,28
8870,28
9992,14
36970,10751
10077,878
76649,12
293644,16
453,10749
8587,16
72545,28
109451,10751
9533,53
2023,12
584,80
309809,16
4858,53
17711,12
328111,10751
8698,28
93456,35
602,12
330,28
953,16
9693,28
36657,28
8909,53
9802,12
950,10751
1824,10749
2976,35
11026,9648
332,12
75656,80
594,18
15189,10751
11678,12
6538,18
10555,28
4551,80
612,28
9567,18
37821,35
203801,28
9297,35
3172,35
6520,12
1439,36
37958,28
2026,18
7450,28
11375,12
9425,10752
25769,18
23685,14
11866,12
9741,53
211672,16
23629,14
8688,9648
153518,16
8676,35
20829,18
4349,28
10808,10751
197,18
25,10752
35,35
11086,10749
1997,18
6947,9648
3050,10751
2675,53
809,16
920,12
4806,10749
7451,12
228165,12
3595,53
16869,28
879,14
1573,53
9257,53
1903,9648
9697,53
395,878
23398,10751
10590,36
117263,53
200,28
44943,878
587,14
57212,10752
152760,18
2756,28
33909,80
49017,28
9882,28
2270,14
978,18
44564,18
3132,12
8814,28
8427,12
52520,28
80585,18
10592,10752
49021,12
11535,878
10550,12
12610,16
59981,10402
201088,18
5137,28
3093,9648
107846,53
188207,12
4614,28
24021,14
11371,80
20352,10751
11517,35
26428,18
9824,14
9008,53
300673,18
12113,18
72331,14
1844,18
846,878
9703,12
857,36
136797,80
3981,10749
425,35
6171,27
72976,18
603,878
9021,35
82695,10402
9489,10749
9342,12
41733,18
227306,10752
5551,12
9350,12
9208,12
4244,35
1852,36
11820,10749
345,18
196867,18
256591,35
59962,35
36648,28
1880,53
9440,18
71679,27
10483,53
11412,28
11983,12
6795,14
9292,12
10783,12
100241,53
257,18
9947,14
189,53
12618,10749
253412,18
1427,14
818,80
16577,28
329,878
12160,28
9331,18
300168,18
9072,80
3536,18
9087,18
12177,10749
12138,12
273248,18
9955,35
50359,35
1271,12
693,10749
14306,10751
497,18
11199,12
9982,10751
210577,53
2501,18
710,28
2275,18
37165,18
9837,16
10708,10751
136400,35
10992,10751
9654,80
2642,35
8916,16
19899,10749
5994,18
39514,12
547,10749
1538,80
9334,14
11128,28
75780,18
8914,878
13576,99
39538,53
10628,12
14836,10751
8645,878
9509,18
10067,10751
9384,80
9279,35
1487,28
77174,16
4824,53
9620,12
9302,10749
10199,16
10771,28
3512,53
137094,18
274479,35
267860,80
8078,27
7485,18
170687,35
6435,14
137106,16
10040,35
6278,28
82682,18
17610,12
22954,36
16558,35
9849,18
5820,53
16866,16
201,28
11775,35
87825,10749
12201,18
11015,9648
9932,80
13389,80
8838,80
4958,18
786,10402
9513,35
11679,12
38321,878
14411,16
8413,878
9664,12
2100,18
10384,878
137321,14
123553,12
11260,878
9009,27
2309,10751
8285,35
210860,12
2312,14
9839,10749
381902,12
13922,36
293660,12
9713,35
190859,28
257445,27
9007,14
889,35
1370,12
4942,10749
347969,37
35791,12
72431,28
1813,27
10589,35
71676,14
1722,36
10022,35
11358,18
13,18
6477,10402
1597,10749
10530,16
1924,12
9327,35
8488,18
10603,35
8273,10749
109424,18
8839,35
156022,28
7303,18
8963,53
9315,18
8984,53
795,14
24,80
393,80
9618,12
9374,35
8584,28
2320,12
58224,10751
1729,12
175574,35
8077,28
8818,18
8195,53
116149,35
10632,28
12117,9648
72197,12
3580,18
12123,18
9566,9648
9833,18
4517,36
8202,878
16072,36
34314,53
145220,12
14623,12
42297,10749
802,10749
10375,53
36586,27
70074,80
242,18
9621,18
1819,10749
8536,12
1717,53
479,12
9444,10751
824,10402
11456,53
261023,18
